food_cate,food_cate_url,food_cate_dis,food_type,food_type_url,food_type_dis,food,calories,food_price,food_url,food_dis
御飯糰,御飯糰的圖片連結,御飯糰的描述,加熱更好吃的飯糰,加熱更好吃的飯糰的圖片連結,加熱更好吃的飯糰的描述,吳留手-明太子鮭魚烤飯糰,186,42,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_293.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,新極上飯糰-鮭魚鮭魚卵,178,42,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_259.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,圓形小飯糰,圓形小飯糰的圖片連結,圓形小飯糰的描述,蝦仁蛋鬆拌飯飯糰(圓),179,35,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_281.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,握便當,握便當的圖片連結,握便當的描述,握便當-經典奮起湖,351,45,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_255.png,(豬原料來源：加拿大)
御飯糰,御飯糰的圖片連結,御飯糰的描述,握便當,握便當的圖片連結,握便當的描述,握便當-黑胡椒烤雞排,341,45,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_258.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,握便當,握便當的圖片連結,握便當的描述,乾杯握便當-鹽烤燒肉雙拼,440,59,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_253.png,(豬原料來源：台灣)
御飯糰,御飯糰的圖片連結,御飯糰的描述,加熱更好吃的飯糰,加熱更好吃的飯糰的圖片連結,加熱更好吃的飯糰的描述,請客樓-麻油雞飯糰,354,49,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_284.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,加熱更好吃的飯糰,加熱更好吃的飯糰的圖片連結,加熱更好吃的飯糰的描述,阜杭豆漿-香鬆飯糰,477,45,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_292.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,加熱更好吃的飯糰,加熱更好吃的飯糰的圖片連結,加熱更好吃的飯糰的描述,阜杭豆漿-經典飯糰,533,45,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_271.png,(豬原料來源：台灣)
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,新極上飯糰-鹽烤松阪豬,198,42,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_280.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,晶華-剝皮辣椒雞米飽,260,49,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_291.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,加熱更好吃的飯糰,加熱更好吃的飯糰的圖片連結,加熱更好吃的飯糰的描述,乾杯炭火燒肉烤飯糰,202,42,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_275.png,(豬原料來源：台灣)
御飯糰,御飯糰的圖片連結,御飯糰的描述,圓形小飯糰,圓形小飯糰的圖片連結,圓形小飯糰的描述,石安牧場溏心蛋筍飯飯糰(圓),167,35,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_239.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,圓形小飯糰,圓形小飯糰的圖片連結,圓形小飯糰的描述,鮭魚海帶芽飯糰(圓),185,33,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_240.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,加熱更好吃的飯糰,加熱更好吃的飯糰的圖片連結,加熱更好吃的飯糰的描述,熱浪島-泰式打拋飯糰,202,36,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_286.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,21Plus蔥鹽雞米飽,288,45,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_290.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,加熱更好吃的飯糰,加熱更好吃的飯糰的圖片連結,加熱更好吃的飯糰的描述,壹番屋-雙起司雞肉咖哩飯糰,251,39,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_289.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,壽司/手卷,壽司/手卷的圖片連結,壽司/手卷的描述,和風壽司組,289,60,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_287.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,壽司/手卷,壽司/手卷的圖片連結,壽司/手卷的描述,海陸雙拼壽司組,507,69,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_276.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,炙燒明太子鮭魚飯糰,177,33,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_261.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,壽司/手卷,壽司/手卷的圖片連結,壽司/手卷的描述,肉鬆玉子雙手卷,405,49,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_279.png,(豬原料來源：台灣、加拿大)
御飯糰,御飯糰的圖片連結,御飯糰的描述,壽司/手卷,壽司/手卷的圖片連結,壽司/手卷的描述,秋鮭鮪魚雙手卷,342,49,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_278.png,(豬原料來源：加拿大)
御飯糰,御飯糰的圖片連結,御飯糰的描述,壽司/手卷,壽司/手卷的圖片連結,壽司/手卷的描述,京都豆皮壽司,278,42,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_277.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,雞肉飯飯糰,206,28,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_269.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,燒肉泡菜飯糰,194,33,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_267.png,(豬原料來源：荷蘭、西班牙)
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,魚卵小龍蝦沙拉飯糰,211,33,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_265.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,哇沙米鮭魚飯糰,212,33,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_263.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,炙燒雪花牛飯糰,212,36,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_262.png,blank
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,雙蔬鮪魚飯糰,209,30,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_268.png,餡料增量50%是以鮪魚飯糰為比較基準
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,御選肉鬆飯糰,213,28,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_264.png,"餡料增量50%是以肉鬆飯糰為比較基準
(豬原料來源：加拿大、台灣)"
御飯糰,御飯糰的圖片連結,御飯糰的描述,經典三角飯糰,經典三角飯糰的圖片連結,經典三角飯糰的描述,蔥鹽燒肉飯糰,207,30,https://www.7-11.com.tw/freshfoods/1_Ricerolls/images/ricerolls_266.png,(豬原料來源：荷蘭、西班牙)
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,烤豆腐溫沙拉,235,69,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_659.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,一日野菜-八種蔬菜溫沙拉,89,69,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_657.png,blank
輕食,輕食的圖片連結,輕食的描述,捲餅,捲餅的圖片連結,捲餅的描述,凱薩風味雞肉蔬菜捲,297,60,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_649.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,豆腐雞胸肉沙拉餐,190,89,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_654.png,blank
輕食,輕食的圖片連結,輕食的描述,捲餅,捲餅的圖片連結,捲餅的描述,松露風味野菇烘蛋捲餅,275,52,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_642.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,凱薩沙拉,77,75,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_653.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,田園鮮蔬五色沙拉,43,75,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_652.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,21PLUS香草烤雞沙拉,100,69,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_634.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,柚香和風嫩雞沙拉,116,69,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_641.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,地瓜雞胸肉沙拉餐,208,89,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_650.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,紅藜毛豆雞肉沙拉,89,69,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_647.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,泰式雞肉蒟蒻麵沙拉,64,69,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_655.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,一日野菜-農夫十蔬,89,55,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_630.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,一日野菜-和風海藻,37,42,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_632.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,一日野菜-萵苣沙拉,51,55,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_631.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,一日野菜-凱薩沙拉,62,55,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_656.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,洋芋沙拉佐生菜,136,49,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_609.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉,沙拉的圖片連結,沙拉的描述,石安牧場溏心蛋洋芋沙拉,183,42,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_570.png,(豬原料來源：加拿大)
輕食,輕食的圖片連結,輕食的描述,沙拉醬,沙拉醬的圖片連結,沙拉醬的描述,和風醬,33,10,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_368.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉醬,沙拉醬的圖片連結,沙拉醬的描述,凱薩醬,154,10,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_369.png,blank
輕食,輕食的圖片連結,輕食的描述,沙拉醬,沙拉醬的圖片連結,沙拉醬的描述,千島醬,137,10,https://www.7-11.com.tw/freshfoods/16_sandwich/images/light_370.png,blank
湯滷類,其他的圖片連結,其他的描述,鍋物,鍋物的圖片連結,鍋物的描述,太和殿-麻辣鍋,571,139,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_219.png,blank
麵類,麵類的圖片連結,麵類的描述,台式特色餐點,台式特色餐點的圖片連結,台式特色餐點的描述,台南風味意麵,570,65,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_202.png,(豬原料來源：加拿大、芬蘭)
麵類,麵類的圖片連結,麵類的描述,台式特色餐點,台式特色餐點的圖片連結,台式特色餐點的描述,麻油雞麵線,517,99,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_218.png,blank
湯滷類,其他的圖片連結,其他的描述,鍋物,鍋物的圖片連結,鍋物的描述,林聰明-香辣炸魚鍋,532,129,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_217.png,blank
飯類,米飯類的圖片連結,米飯類的描述,燴飯/拌飯,燴飯/拌飯的圖片連結,燴飯/拌飯的描述,林聰明-香辣豬肉燴飯,778,85,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_215.png,blank
飯類,米飯類的圖片連結,米飯類的描述,炒飯/油飯,炒飯/油飯的圖片連結,炒飯/油飯的描述,漢來蔬食藜麥八寶飯,578,79,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_194.png,blank
麵類,麵類的圖片連結,麵類的描述,牛肉麵/拌麵,牛肉麵/拌麵的圖片連結,牛肉麵/拌麵的描述,滿漢大餐酸菜牛肉拌麵,500,109,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_209.png,blank
麵類,麵類的圖片連結,麵類的描述,牛肉麵/拌麵,牛肉麵/拌麵的圖片連結,牛肉麵/拌麵的描述,御選紅燒牛肉麵,577,109,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_205.png,blank
飯類,米飯類的圖片連結,米飯類的描述,燴飯/拌飯,燴飯/拌飯的圖片連結,燴飯/拌飯的描述,請客樓-御選紅燒牛肉飯,600,99,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_206.png,blank
飯類,米飯類的圖片連結,米飯類的描述,炒飯/油飯,炒飯/油飯的圖片連結,炒飯/油飯的描述,漢來XO醬風味椒麻鮮蔬炒飯,788,89,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_210.png,blank
麵類,麵類的圖片連結,麵類的描述,台式特色餐點,台式特色餐點的圖片連結,台式特色餐點的描述,晶華-府城風擔仔麵,388,85,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_214.png,(豬原料來源：法國、臺灣)
麵類,麵類的圖片連結,麵類的描述,牛肉麵/拌麵,牛肉麵/拌麵的圖片連結,牛肉麵/拌麵的描述,晶華-紅燒牛肉麵,748,159,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_212.png,(豬原料來源：法國、臺灣)
飯類,米飯類的圖片連結,米飯類的描述,便當,便當的圖片連結,便當的描述,晶華-肉燥排骨飯,626,99,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_216.png,(豬原料來源：法國、臺灣)
麵類,麵類的圖片連結,麵類的描述,牛肉麵/拌麵,牛肉麵/拌麵的圖片連結,牛肉麵/拌麵的描述,沙茶牛肉炒麵,571,75,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_208.png,blank
飯類,米飯類的圖片連結,米飯類的描述,燴飯/拌飯,燴飯/拌飯的圖片連結,燴飯/拌飯的描述,請客樓-魚子燒豆腐飯,572,85,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_207.png,blank
飯類,米飯類的圖片連結,米飯類的描述,便當,便當的圖片連結,便當的描述,奮起湖雙拼便當,699,89,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_200.png,"軟燒肉+雞腿雙主菜
(豬原料來源：台灣)"
飯類,米飯類的圖片連結,米飯類的描述,便當,便當的圖片連結,便當的描述,經典奮起湖便當,593,75,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_178.png,(豬原料來源： 西班牙)
飯類,米飯類的圖片連結,米飯類的描述,燴飯/拌飯,燴飯/拌飯的圖片連結,燴飯/拌飯的描述,麻婆豆腐燴飯,644,60,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_180.png,(豬原料來源：加拿大、台灣)
飯類,米飯類的圖片連結,米飯類的描述,便當,便當的圖片連結,便當的描述,蒜味香腸便當,648,65,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_197.png,(豬原料來源：台灣、西班牙、法國、日本)
飯類,米飯類的圖片連結,米飯類的描述,便當,便當的圖片連結,便當的描述,港式油雞便當,582,65,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_179.png,(豬原料來源：台灣、法國、其他(日本))
飯類,米飯類的圖片連結,米飯類的描述,燴飯/拌飯,燴飯/拌飯的圖片連結,燴飯/拌飯的描述,紅燒牛肉燴飯,627,70,https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_181.png,進口牛腩肉和豆瓣醬，紅燒燉滷微辣回香。
輕食,輕食的圖片連結,輕食的描述,吐司三明治,吐司三明治的圖片連結,吐司三明治的描述,扶旺號-總匯里肌土司,338,69,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_149.png,blank
飯類,米飯類的圖片連結,米飯類的描述,粥品,粥品的圖片連結,粥品的描述,阿發師芋頭瘦肉粥,274,59,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_147.png,blank
飯類,米飯類的圖片連結,米飯類的描述,粥品,粥品的圖片連結,粥品的描述,阿發師香菇雞肉粥,234,59,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_148.png,blank
飯類,米飯類的圖片連結,米飯類的描述,粥品,粥品的圖片連結,粥品的描述,皮蛋瘦肉粥,291,55,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_146.png,(豬原料來源：台灣、加拿大)
湯滷類,其他的圖片連結,其他的描述,湯品,湯品的圖片連結,湯品的描述,漢來蔬食麻油猴頭菇湯,101,65,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_144.png,blank
湯滷類,其他的圖片連結,其他的描述,湯品,湯品的圖片連結,湯品的描述,永心鳳茶鳳梨苦瓜雞湯,116,65,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_143.png,blank
輕食,輕食的圖片連結,輕食的描述,包子,包子的圖片連結,包子的描述,乾杯炭火燒肉包,263,35,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_134.png,(豬原料來源：台灣)
湯滷類,其他的圖片連結,其他的描述,滷味,滷味的圖片連結,滷味的描述,漢來XO醬風味椒麻滷味拼盤,644,59,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_140.png,blank
飯類,米飯類的圖片連結,米飯類的描述,炒飯/油飯,炒飯/油飯的圖片連結,炒飯/油飯的描述,雙月香菇油飯,447,59,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_141.png,(豬原料來源：西班牙、加拿大、其他(日本、臺灣))
湯滷類,其他的圖片連結,其他的描述,湯品,湯品的圖片連結,湯品的描述,雙月香菇雞湯,105,59,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_142.png,blank
湯滷類,其他的圖片連結,其他的描述,滷味,滷味的圖片連結,滷味的描述,漢來-XO醬風味椒麻滷味燙,509,85,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_139.png,blank
湯滷類,其他的圖片連結,其他的描述,關東煮,關東煮的圖片連結,關東煮的描述,麻辣關東煮,153,55,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_137.png,(豬原料來源：台灣)
湯滷類,其他的圖片連結,其他的描述,關東煮,關東煮的圖片連結,關東煮的描述,味噌關東煮,171,55,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_133.png,(豬原料來源：台灣)
輕食,輕食的圖片連結,輕食的描述,地瓜,地瓜的圖片連結,地瓜的描述,冰烤地瓜,198,35,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_131.png,blank
湯滷類,其他的圖片連結,其他的描述,湯品,湯品的圖片連結,湯品的描述,永心鳳茶剝皮辣椒雞湯,116,59,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_129.png,blank
湯滷類,其他的圖片連結,其他的描述,湯品,湯品的圖片連結,湯品的描述,完熟蕃茄蔬菜湯,166,49,https://www.7-11.com.tw/freshfoods/4_Snacks/images/Snacks_116.png,滿足一日1/3蔬菜量攝取
飯類,米飯類的圖片連結,米飯類的描述,咖哩飯,咖哩飯的圖片連結,咖哩飯的描述,熱浪島-南洋風味咖哩飯,434,85,https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_283.png,blank
飯類,米飯類的圖片連結,米飯類的描述,蛋包飯,蛋包飯的圖片連結,蛋包飯的描述,麻婆豆腐歐姆蛋包飯,586,85,https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_304.png,blank
飯類,米飯類的圖片連結,米飯類的描述,炒飯/油飯,炒飯/油飯的圖片連結,炒飯/油飯的描述,冠軍炒飯-參巴醬雞肉炒飯,552,85,https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_263.png,blank
飯類,米飯類的圖片連結,米飯類的描述,便當,便當的圖片連結,便當的描述,牛角-炭火燒肉便當,447,89,https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_305.png,blank
麵類,麵類的圖片連結,麵類的描述,義大利麵,義大利麵的圖片連結,義大利麵的描述,香蒜白酒蛤蠣義大利麵,438,79,https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_227.png,blank
飯類,米飯類的圖片連結,米飯類的描述,便當,便當的圖片連結,便當的描述,21Plus香草烤雞腿時蔬餐,408,89,https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_302.png,豆魚蛋肉類每份提供7g蛋白質(參考國民健康署每日飲食指南換算一日需求2000大卡者每餐攝取2份豆魚蛋肉類)
飯類,米飯類的圖片連結,米飯類的描述,便當,便當的圖片連結,便當的描述,香烤雞胸鮮蔬餐,378,89,https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_303.png,豆魚蛋肉類每份提供7g蛋白質(參考國民健康署每日飲食指南換算一日需求2000大卡者每餐攝取2份豆魚蛋肉類)
麵類,麵類的圖片連結,麵類的描述,義大利麵,義大利麵的圖片連結,義大利麵的描述,烤雞時蔬生義大利麵,456,89,https://www.7-11.com.tw/freshfoods/5_ForeignDishes/images/ForeignDishes_290.png,blank
